index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
19,Aina Brei'Yon,"Known for her excuse-free, self-rewarding work ethic, the founder, and CEO of 3K9 Productions is mastering the art of maintaining a successful career as an independent artist.
As a native of the Southside (Roseland area) of Chicago, Aina Brei’Yon personifies strength. Since her conception, she has made it very clear that boundaries do not apply to her. Early on in her career, she understood the importance of being true to who she is and embracing idealism. Her reality is defined by her beliefs; a message that transcends through her music. As the second to youngest of 10 children, self-expression and showing any type of emotion was simply non-existent in their family. She says, “I found an outlet with music at the young age of nine. Writing was the only way I knew how to express myself.”
As a creator of experiences, Aina’s talent of using her music to tell her stories has presented her with several opportunities to open up for acts such as J.Holiday, Talib Kweli, Soulja Boy, Keith Murray, Crucial Conflict, Sammie, and B2K. Her audience consists of multigenerational like-minded male and female individuals who find themselves embracing the energy of Aina Brei’Yon.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Sync/Music Supervisors",Hip-Hop / Rap,Hip-Hop,"Chicago, IL",http://audio.sxsw.com/2019/mp3_by_artist_id/aa0fbf26c511626d8874b7c6df2baed6c2dac50e880f542725f99c8837bacbd5.mp3,Aina Brei'Yon at The Main,"Mar 16, 2019",11:35pm-11:55pm,The Main
20,Airplane James,"Born Wendell James Hayden in March of 1992, the South Central native acknowledged his dreams of a rap career taking flight early on, as evidenced by his MC moniker. He put in work and paid his dues from jump, knowing that solidifying his natural talent and achieving success would take dedication and plenty of perseverance. 
His work ethic and lyrical skills eventually started to reach new ears in the LA rap scene, including those of Compton star Problem and his Diamond Lane Music Group family. He was relentless in pursuit of his goal – joining Diamond Lane – submitting several projects to the label of the span of more than a year. 
It was that same persistence, when paired with his knack for clever wordplay and his meshing of his rapping and singing talents, which ultimately earned him the time and respect of Diamond Lane’s CEO. 
He was featured on Problem’s 2017 project “Chachiville” and listeners instantly gravitated to the newcomer, including XXL Magazine and many others. His smooth cadences and creative style finally helped him achieve a major goal: signing with Diamond Lane. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,None,"South Central, CA",,Airplane James at ScratcHouse,"Mar 15, 2019",8:55pm-9:05pm,ScratcHouse
21,Ajax Stacks,"From his lyrics, to his career, to the ink on his skin, every part of Avery ‘Stacks’ Jackson (also known as Ajax Stacks) is strategic and methodical. His work ethic is something that he takes very seriously and anyone who listens to the rapper knows this just by listening to his work. From “American Muscle,” to “I Gotchu,” or his most recently released “Mind My Business,” making moves is something that is top of mind.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"Grand Rapids, MI",,Ajax Stacks at The Main II,"Mar 14, 2019",8:45pm-8:55pm,The Main II
22,AKAW!,"AKAW! started as a 3 piece garage/surf rock band back in 2017 on a bet that they couldn't nail a full set within 2 weeks. Of course the guys got it together and had a great time playing together. AKAW! immediately started to incorporate choreography, sound effects and a stylish uniform to their performance to make it a SHOW, not just 3 dudes standing around playing garage rock. The AKAW! call seems to follow the members around, usually being yelled immediately upon entering the venue at load in or when the members are seen at other shows. Recently, a keyboard player has joined to fill out the sound, creating that garage vibe that groups have been after since it's advent. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide",Rock,Surf,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/a1ebb607e86a2ebdab452f3cb37dbef755cfd4bdd69622fbfef8ed65fa8e4e1a.mp3,AKAW! at Hotel Vegas,"Mar 16, 2019",8:45pm-9:10pm,Hotel Vegas
23,Akil Ammar,"Akil Ammar es un MC y poeta urbano nacido en la Ciudad de México. Veinte años de trayectoria dentro de la cultura Hip Hop y 5 álbumes de estudio lo respaldan. Melodía y mensaje mezclados con letras cotidianas, sinceras y de conciencia  han convertido a Akil en uno de los referentes más importantes para la música independiente iberoamericana.
Ha hecho tours por todo México, además de festivales en La Habana, Berlín, Puerto Rico, Guatemala y en 10 de las ciudades más importantes de EUA. Co-fundador de Asfalto en 2012 (www.asfaltoinc.com), ha sido parte de la producción de eventos masivos internacionales y de la distribución de música independiente del género a nivel mundial. Ha aportado temas para: “Barrio 19” (MTV), ""Ángel Guardián"" (Canal Once), y varios filmes incluyendo “Trazando Aleida”. Ganador del premio Chilango-FMX a la Música en 2010 y nominado a mejor Disco de Rap/Hip Hop en los Indie O Music Awards 2010.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With",Hip-Hop / Rap,Hip-Hop,"Mexico City, MEXICO",http://audio.sxsw.com/2019/mp3_by_artist_id/2fcd98ff744f36591c9a87b18cda8f65a51ca19f8bc6a6fffb1d98c55ea40532.mp3,Akil Ammar at Flamingo Cantina,"Mar 13, 2019",1:00am-1:40am,Flamingo Cantina
24,Aklesso,"Aklesso, born and raised in Miami,  Florida, was spurred to do music after his father abandoned him and his two sisters. It was a way for him to express himself, and he deeply fell in love with the art. Coming from a Haitian and Togolese family, he infused the native music he grew up on with the modern hip hop sounds of today. Aklesso seeks to make positive music that shows people that there is hope beyond the struggles of today. So far Aklesso has made an EP called “Dead God”, wrote for acclaimed Christian Artist/Producer “Gawvi”, and has gone on a 5 city tour across the country. He is currently working on a project he feels will change the landscape of music.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"Miami, FL",,Aklesso at The Belmont,"Mar 13, 2019",8:55pm-9:05pm,The Belmont
25,Alesia Lani,"Austin has always had a solid selection of soulful singers, but over the last few years, a real movement has developed, particularly among the women on the scene. They recognize something special is going on and are plotting ways to rise together. Alesia Lani is one of the artists leading the way.
​
                                                                                 - Deborah Sengupta Stitch
                                                                                  Austin American Statesman
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",R & B,Soul,"Austin, TX",,Alesia Lani at Edwin's,"Mar 15, 2019",12:05am-12:20am,Edwin's
26,Alexandra Cardenas,"Alexandra Cárdenas
Composer/programmer/live coder
Born in Bogotá, Colombia in 1976. Currently lives in Berlin, Germany, where she completed the Master's degree Sound Studies at the University of the Arts in 2017. Graduated in Music Composition at Los Andes University, in Bogotá, Colombia, in 2000. She also carried studies in Classical Guitar and Mathematics. From 2001 she has lived and worked in Mexico City, where she has taken an important part in the birth and development of the Mexican live coding scene, being in 2017 the Chair of the International Conference on Live Coding in Morelia, Mexico. Having an intense activity as teacher and performer of live coding around the world, Alexandra is among the pioneers of live coding in electronic music and part of the forefront of the Algorave scene. Using open source software like SuperCollider and TidalCycles, her work is focused on the exploration of the musicality of code and the algorithmic behavior of music. http://cargocollective.com/tiemposdelruido
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Distribution - Worldwide, Booking Agent - Worldwide",Avant / Experimental,Electronic,"Berlin, GERMANY",,Alexandra Cardenas at The Main II,"Mar 12, 2019",11:30pm-12:05am,The Main II
27,Alex Di Leo,"Every song from Alex Di Leo is an automatic escape from day-to-day life, a retreat into a state of mind that’s more hopeful and carefree and full of possibility. With his soulful vocals and crystalline melodies, the Fort Lauderdale-based singer/songwriter delivers an impassioned breed of indie-pop that melts away everyday worries and leaves the listener inspired to live more fearlessly.
Given their transportive power, it’s fitting that so many of Di Leo’s songs are sparked by his adventures in visiting new cities all over the country and across the globe. “I’m always most motivated to write when I’m in a place I’ve never been before,” says the 22-year-old artist. “Even just riding on the plane when I’m traveling somewhere new seems to do something to me, and the melodies just start to come together.”
On his new EP Strange Open Land, Di Leo channels that inspiration into an intricately detailed but hook-heavy sound. The follow-up to his debut EP So We Go—a 2016 release that landed Di Leo on the top 20 at more than 100 college radio stations around the U.S.—the EP also perfectly captures the infectious energy that Di Leo’s shown in sharing stages with such artists as Barns Courtney
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Publishing",Singer-Songwriter,Indie Pop,"Fort Lauderdale, FL",http://audio.sxsw.com/2019/mp3_by_artist_id/95fd9aecf321c273cf9f90f13223f2f90cf05e0e316f04cc957578c4bf190415.mp3,Alex Di Leo at Sheraton BackYARD,"Mar 16, 2019",11:10pm-11:30pm,Sheraton BackYARD
28,Alex Francis,"Alex Francis released his first single ‘The Last Time’ in early 2017 before embarking onto a successful tour of the UK and Europe supporting pop legend Melanie C. Alex also provided guest vocals on Melanie's single ‘Hold On'. His EP ‘A Stronger Love’ caught the attention of Stereophonics’ Kelly Jones who invited Alex and his band to open their European tour in early 2018 which he followed with another successful supporting campaign opening for Sting last summer. He performed his first shows in New York in September including a sold out Mercury Lounge alongside Anthony D’Amato and his cover of Otis Redding's 'Merry Christmas Baby' landed on Warner Music's 'Christmas Covered' new music compilation just in time to see the year out on a high. 
Alex‘s new single 'Whatever Happened' produced by Stew Jackson (Massive Attack) released on February 15th and scored an immediate addition to New Music Friday Norway on Spotify. Alex hits the road with Nashville's Megan Davies in the UK and Europe this February and March along with performances at Live at Leeds, Glastonbury and Victorious Festivals in the UK this summer amongst several others exciting live developments. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Distribution - US, Other Artists to Tour With, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Singer-Songwriter,Soul,"Hitchin, UK-ENGLAND",http://audio.sxsw.com/2019/mp3_by_artist_id/c63002903fcd3ba7b27fff53c2ae3e742f0f752b23fa4969255aee8fe7142fdb.mp3,Alex Francis at Stephen F's Bar,"Mar 15, 2019",9:00pm-9:40pm,Stephen F's Bar
29,Alex Mali,"Brooklyn-born Alex Mali is a multi-talented singer and songwriter who puts a breathtaking spin on modern R&B. Her ballads are influenced by an electric assortment of genres with undeniable demonstration of strength in melodic and lyrical ability. Raised with a very rich heritage stemming from a Jamaican mother and a Trinidadian father, her cultural background and exposure to wide selections of music as a child is key to why she stands above the crowd-- scoring spots on popular playlists such as Fresh Finds, New Music Friday and Alternative R&B.
Alex Mali has worked with some of today's dopest artists such as Thutmose, Grammy-Award winning artists J-White and MeLo-X, etc. -- recently appeared on BET Awards #GETVOCAL Sprite Commercial(s), performed alongside Lil’ Kim at the Barclays for VFiles #NYFW SS19 Runway Show, King Combs for Hot97's ""Who's Next"" + more.
Alex Mali takes the attention of her audience and guides them through realms of emotion with her unique build and powerful vocals,  transcending barriers of age and culture. Debut project ""Sweet & Sour"" is projected to release April 2019, including her latest single ""BENJAMIN"" prod. PLVYHAUS, premiered on Ebro's Beats1 Show.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",R & B,Soul,"Brooklyn, NY",http://audio.sxsw.com/2019/mp3_by_artist_id/9e8111c251929e7e0d97ff8443e63052587d5ccaa36bf558407a3c690c1bbbdf.mp3,Alex Mali at Antone’s,"Mar 14, 2019",9:40pm-9:55pm,Antone’s
